InputCommand,CommandIndex
screen grab,11
purge register,10
capture,11
reinstate,2
screen shot,11
erase log,10
trigger keylogger,14
initiate process,7
invalid command,0
begin web camera,12
start tool,4
list software,3
uninstall documents,10
screen grab,11
break,1
open software,4
run cameras,12
revive,2
initiate keyloggers,14
execute camcorders,12
start keylogger,14
conclude task,8
recover,2
list process,6
clear logs,10
catalog task,6
fetch file,9
register operation,6
access records,9
log software,3
screen shot,11
invalid command,0
open operations,7
kill programs,5
transfer logs,9
execute software,4
remove file,10
acquire data,9
execute utility,4
execute task,7
launch tool,4
power off,1
launch keyloggers,14
complete process,8
shut utility,5
log tools,3
invalid command,0
terminate software,5
restore,2
run programs,4
invalid command,0
initiate web cameras,12
initiate video cameras,12
complete job,8
terminate digital camera,13
commence keylogger,14
show programs,3
start software,4
cripple,1
begin digital camera,12
list operation,6
invalid command,0
exit keyloggers,15
get register,9
shut video cameras,13
reanimate,2
open tool,4
execute keylogger,14
execute keyloggers,14
recharge,2
reboot,2
open software,4
record apps,3
invalid command,0
fetch file,9
run process,7
screen shot,11
conclude apps,5
launch keyloggers,14
commence keyloggers,14
run keylogger,14
screen shot,11
retrieve logs,9
shut service,8
trigger apps,4
renew,2
invalid command,0
discard records,10
commence camcorders,12
start keyloggers,14
break utility,5
snapshot,11
activate apps,4
launch keylogger,14
wipe file,10
uninstall logs,10
conclude keylogger,15
commence tool,4
initiate task,7
terminate programs,5
acquire data,9
launch digital cameras,12
shut cameras,13
begin application,4
catalog operations,6
open tasks,7
turn off apps,5
begin camcorders,12
launch jobs,7
kill keyloggers,15
record utilities,3
revive,2
cripple tool,5
break,1
kill operations,8
stop keylogger,15
reinitialize,2
cripple,1
show processes,6
conclude apps,5
cripple,1
initiate keylogger,14
screen shot,11
catalog jobs,6
shut down application,5
begin services,7
power off operations,8
execute process,7
list task,6
close utility,5
screen capture,11
kill keyloggers,15
screen grab,11
halt,1
execute keylogger,14
register operations,6
detail task,6
restarting,2
screenshot,11
shutdown,1
launch cameras,12
capture,11
invalid command,0
acquire file,9
fetch file,9
invalid command,0
end job,8
cease camcorders,13
kill keylogger,15
conclude keylogger,15
activate tool,4
start programs,4
screen shot,11
execute tool,4
copy registers,9
register services,6
cease web cameras,13
open programs,4
close video camera,13
close down apps,5
list software,3
activate program,4
screenshot,11
reinvigorate,2
initiate keylogger,14
invalid command,0
invalid command,0
detail applications,3
exit camcorders,13
cripple tool,5
close jobs,8
launch webcams,12
log apps,3
screenshot,11
screenshot,11
kill task,8
screenshot,11
register applications,3
power off,1
execute digital camera,12
cease keyloggers,15
execute utilities,4
transfer document,9
trigger keylogger,14
start camcorders,12
kill off digital camera,13
activate program,4
snapshot,11
show apps,3
terminate utility,5
kill services,8
transfer register,9
screen shot,11
launch web camera,12
invalid command,0
conclude digital cameras,13
record tools,3
display service,6
initiate application,4
index apps,3
activate utilities,4
discard logs,10
stop cameras,13
shut down services,8
invalid command,0
execute digital cameras,12
list utilities,3
show service,6
index programs,3
break software,5
access log,9
complete tools,5
index tasks,6
snapshot,11
turn off,1
run software,4
obtain record,9
stop tool,5
start keyloggers,14
launch keylogger,14
cripple,1
screenshot,11
get document,9
run software,4
reinitialize,2
invalid command,0
activate keyloggers,14
terminate software,5
commence keylogger,14
finish jobs,8
detail service,6
conclude program,5
erase document,10
break apps,5
disable,1
trigger keylogger,14
run web cameras,12
enumerate programs,3
trigger tasks,7
begin web camera,12
end keyloggers,15
catalog operation,6
screen grab,11
break tools,5
stop keyloggers,15
invalid command,0
open job,7
run keyloggers,14
exit keyloggers,15
specify programs,3
screenshot,11
terminate keylogger,15
open utility,4
display apps,3
index task,6
run software,4
exit keylogger,15
catalog task,6
trigger tool,4
specify operations,6
break,1
execute web camera,12
execute web cameras,12
reinstate,2
trigger webcams,12
screen capture,11
launch tool,4
store documents,9
cease keyloggers,15
show process,6
close down processes,8
open process,7
index operation,6
cripple,1
rebooting,2
catalog job,6
screen grab,11
initiate keyloggers,14
shut down,1
invalid command,0
kill camera,13
specify utilities,3
terminate web cameras,13
cripple,1
finish tools,5
access register,9
detail service,6
shut cameras,13
terminate digital cameras,13
specify service,6
enumerate programs,3
download document,9
run keylogger,14
commence job,7
shut down software,5
index operations,6
turn off,1
commence operation,7
clear registers,10
eliminate logs,10
invalid command,0
access record,9
revive,2
invalid command,0
commence video camera,12
kill off processes,8
power off,1
capture,11
begin service,7
obtain file,9
purge logs,10
cease digital camera,13
start keyloggers,14
activate software,4
log tasks,6
retrieve logs,9
launch keylogger,14
open service,7
reinvigorate,2
exit keyloggers,15
specify processes,6
close software,5
halt utilities,5
kill web cameras,13
activate operations,7
log applications,3
start camera,12
shut down job,8
initiate service,7
stop tasks,8
cripple,1
close down tasks,8
snapshot,11
conclude utility,5
complete task,8
conclude webcams,13
restore,2
trigger keylogger,14
record software,3
break tool,5
initiate camera,12
finish webcams,13
execute video cameras,12
display software,3
screen grab,11
display utilities,3
kill services,8
kill off camcorder,13
discard files,10
kill keyloggers,15
catalog process,6
shutdown,1
display programs,3
screen shot,11
cease keyloggers,15
conclude camcorders,13
run camcorder,12
uninstall log,10
refresh,2
close tools,5
start keyloggers,14
save records,9
launch process,7
retrieve register,9
eliminate data,10
kill off job,8
shutdown,1
begin tools,4
save records,9
invalid command,0
shut down,1
cease video camera,13
cease apps,5
list apps,3
copy data,9
commence keyloggers,14
commence application,4
invalid command,0
invalid command,0
launch keyloggers,14
shut down,1
turn off utility,5
kill off camera,13
power off,1
complete camera,13
end cameras,13
record services,6
register task,6
invalid command,0
end operation,8
redeem,2
invalid command,0
cease application,5
activate job,7
reawaken,2
capture,11
execute keyloggers,14
launch digital cameras,12
restart,2
start application,4
run keylogger,14
recover,2
shut keylogger,15
complete camera,13
invalid command,0
shut utilities,5
break tool,5
record apps,3
invalid command,0
invalid command,0
open keyloggers,14
activate task,7
power off process,8
screen grab,11
invalid command,0
kill keylogger,15
snapshot,11
commence service,7
cripple,1
reawaken,2
cripple,1
purge file,10
complete keylogger,15
launch application,4
shut jobs,8
eliminate document,10
index apps,3
terminate job,8
shutdown,1
shutdown,1
eliminate data,10
close web camera,13
begin web camera,12
exit keyloggers,15
finish tools,5
run keylogger,14
record software,3
start web cameras,12
trigger tools,4
uninstalling data,10
initiate webcams,12
retrieve document,9
initiate software,4
begin video camera,12
index task,6
renew,2
begin program,4
initiate web camera,12
break utility,5
cease tools,5
rekindle,2
exit keyloggers,15
conclude webcam,13
close keylogger,15
invalid command,0
log apps,3
open application,4
initiate keylogger,14
fetch register,9
shut utilities,5
complete keylogger,15
terminate services,8
terminate digital cameras,13
recover,2
launch keyloggers,14
catalog apps,3
shut down services,8
shut down,1
begin keyloggers,14
kill keyloggers,15
break utilities,5
start webcam,12
shutdown,1
begin utilities,4
uninstall file,10
record tasks,6
uninstalling information,10
enumerate jobs,6
shut services,8
invalid command,0
screen shot,11
display processes,6
screen shot,11
uninstalling records,10
screen shot,11
shut digital cameras,13
shutdown,1
invalid command,0
screen capture,11
screen capture,11
start software,4
run job,7
kill keyloggers,15
shut apps,5
renew,2
kill video cameras,13
screen grab,11
log applications,3
terminate cameras,13
enumerate applications,3
invalid command,0
shutdown,1
uninstalling file,10
index tools,3
begin keylogger,14
cease tool,5
trigger service,7
catalog task,6
catalog services,6
stop programs,5
fetch logs,9
screenshot,11
detail jobs,6
clear documents,10
start keylogger,14
close application,5
close program,5
open application,4
run services,7
end keylogger,15
index services,6
break,1
power off,1
kill software,5
repossess,2
invalid command,0
finish web camera,13
commence keylogger,14
get documents,9
shut keyloggers,15
clear information,10
discard logs,10
halt program,5
execute apps,4
launch operation,7
log programs,3
list tools,3
delete logs,10
log tools,3
screen capture,11
shut program,5
show software,3
reinstate,2
refresh,2
show applications,3
record programs,3
retrieve documents,9
close job,8
close app,5
wipe records,10
cripple tool,5
terminate keyloggers,15
reawaken,2
commence utilities,4
shut down application,5
end programs,5
screen capture,11
initiate web cameras,12
shut down,1
recoup,2
close services,8
cripple utilities,5
screen shot,11
copy information,9
kill off camera,13
resurrect,2
specify job,6
capture,11
screenshot,11
show tools,3
reinitialize,2
specify apps,3
stop apps,5
stop keyloggers,15
invalid command,0
close keylogger,15
complete jobs,8
enumerate service,6
invalid command,0
close tasks,8
record software,3
launch keylogger,14
cripple,1
kill digital cameras,13
kill off video camera,13
kill off webcam,13
disable,1
turn off program,5
end video camera,13
kill off digital camera,13
screen grab,11
transfer records,9
conclude keyloggers,15
open application,4
save documents,9
shut software,5
conclude tool,5
begin keyloggers,14
register programs,3
run keyloggers,14
activate web cameras,12
screen grab,11
activate task,7
complete keylogger,15
record software,3
activate utilities,4
halt,1
trash registers,10
end digital camera,13
capture,11
acquire log,9
retrieve log,9
start operations,7
close operations,8
register applications,3
complete video camera,13
uninstalling documents,10
activate digital camera,12
specify operation,6
end camcorders,13
wipe data,10
recover,2
delete records,10
transfer documents,9
stop task,8
finish keyloggers,15
uninstall record,10
detail programs,3
run tasks,7
purge data,10
snapshot,11
shut down,1
kill process,8
retrieve,2
conclude keylogger,15
wipe logs,10
exit process,8
shut programs,5
index programs,3
trigger cameras,12
open utilities,4
terminate digital camera,13
invalid command,0
cease webcam,13
shut task,8
restarting,2
end tasks,8
break programs,5
break,1
open software,4
delete records,10
store document,9
get document,9
initiate keylogger,14
save information,9
screen capture,11
power off,1
cease webcam,13
purge log,10
restarting,2
capture,11
delete record,10
invalid command,0
show software,3
list tools,3
execute tool,4
run keyloggers,14
run web camera,12
wipe register,10
trigger keyloggers,14
invalid command,0
initiate webcams,12
invalid command,0
trigger keyloggers,14
reboot,2
shutdown,1
invalid command,0
trigger operation,7
reinvigorate,2
activate service,7
obtain records,9
shut down utilities,5
get registers,9
reawaken,2
commence cameras,12
activate process,7
kill operations,8
save log,9
shutdown,1
wipe log,10
conclude keyloggers,15
shut down operation,8
conclude keylogger,15
access document,9
kill off keyloggers,15
start digital camera,12
transfer files,9
complete camcorder,13
restart,2
display service,6
shut digital camera,13
finish web cameras,13
start process,7
finish process,8
wipe register,10
open video cameras,12
activate keylogger,14
begin process,7
conclude video cameras,13
turn off,1
clear registers,10
exit digital camera,13
complete application,5
conclude service,8
store file,9
invalid command,0
run jobs,7
purge record,10
snapshot,11
invalid command,0
download files,9
power off service,8
stop keylogger,15
screen grab,11
restarting,2
transfer records,9
begin cameras,12
terminate tasks,8
specify tasks,6
invalid command,0
launch digital cameras,12
begin webcam,12
open utility,4
screenshot,11
show process,6
invalid command,0
run keylogger,14
launch application,4
snapshot,11
access logs,9
kill keyloggers,15
close down job,8
conclude apps,5
open job,7
invalid command,0
open software,4
terminate apps,5
kill keylogger,15
power off,1
catalog apps,3
clear data,10
run job,7
register tools,3
close down services,8
register operation,6
end digital cameras,13
invalid command,0
activate task,7
terminate web cameras,13
kill off tasks,8
complete webcams,13
break software,5
trigger tasks,7
trigger tools,4
reanimate,2
activate digital camera,12
download information,9
show operations,6
conclude operation,8
obtain files,9
kill webcams,13
screen grab,11
index programs,3
launch application,4
register applications,3
initiate keyloggers,14
begin video camera,12
discard information,10
catalog process,6
snapshot,11
log services,6
run camera,12
conclude camcorders,13
retrieve logs,9
invalid command,0
invalid command,0
commence keyloggers,14
cease utility,5
invalid command,0
conclude jobs,8
invalid command,0
acquire data,9
uninstalling register,10
complete keyloggers,15
open software,4
obtain document,9
activate tools,4
invalid command,0
launch utility,4
cripple tools,5
snapshot,11
start digital cameras,12
run process,7
shut keylogger,15
start tools,4
trigger apps,4
screen grab,11
complete keylogger,15
regain,2
start programs,4
finish keyloggers,15
break utility,5
erase records,10
kill process,8
activate keyloggers,14
remove file,10
reboot,2
start keyloggers,14
execute keyloggers,14
screen grab,11
trigger camcorder,12
begin software,4
kill off processes,8
open cameras,12
end utilities,5
display service,6
disable,1
reinvigorate,2
uninstall logs,10
remove documents,10
initiate process,7
snapshot,11
store records,9
execute keylogger,14
reclaim,2
launch application,4
invalid command,0
conclude tools,5
delete information,10
acquire documents,9
register tasks,6
save records,9
trigger keyloggers,14
end webcams,13
invalid command,0
execute operation,7
acquire logs,9
kill off jobs,8
remove documents,10
start webcam,12
invalid command,0
commence web cameras,12
commence camcorders,12
execute application,4
redeem,2
reinstate,2
download documents,9
run keylogger,14
list jobs,6
invalid command,0
wipe data,10
index processes,6
exit keylogger,15
index service,6
trigger app,4
catalog processes,6
cease camcorder,13
commence program,4
detail service,6
retrieve,2
close tasks,8
shutdown,1
power off,1
commence keylogger,14
store record,9
open software,4
transfer document,9
cripple tool,5
reinitialize,2
save documents,9
purge log,10
initiate tasks,7
wipe document,10
activate video cameras,12
run keylogger,14
reboot,2
invalid command,0
turn off,1
terminate video camera,13
disable,1
store documents,9
fetch documents,9
power off,1
execute keylogger,14
activate webcam,12
execute services,7
commence keylogger,14
wipe documents,10
snapshot,11
screen shot,11
store information,9
list task,6
index operation,6
invalid command,0
register utilities,3
conclude keylogger,15
close down software,5
close cameras,13
invalid command,0
commence digital camera,12
record job,6
start utility,4
commence video cameras,12
invalid command,0
screen capture,11
catalog task,6
revive,2
invalid command,0
terminate apps,5
get data,9
erase document,10
save records,9
start task,7
screenshot,11
specify tools,3
rekindle,2
trigger application,4
uninstall documents,10
index programs,3
terminate web cameras,13
reinstate,2
delete data,10
initiate app,4
invalid command,0
terminate tool,5
stop keylogger,15
start software,4
conclude processes,8
shut processes,8
download files,9
close down job,8
screen capture,11
exit keyloggers,15
enumerate software,3
end application,5
halt,1
start jobs,7
cease web cameras,13
screen capture,11
break,1
remove information,10
cripple,1
shut program,5
invalid command,0
power off,1
redeem,2
screen grab,11
show tasks,6
uninstall logs,10
commence video cameras,12
shut down program,5
cease web camera,13
activate keylogger,14
complete keylogger,15
resurrect,2
purge logs,10
activate video camera,12
enumerate apps,3
specify services,6
activate software,4
open keylogger,14
kill off tasks,8
cease program,5
remove register,10
begin camera,12
trash file,10
reinstate,2
download record,9
open keyloggers,14
begin digital cameras,12
invalid command,0
transfer document,9
break,1
detail software,3
recoup,2
show operations,6
terminate keylogger,15
uninstall registers,10
run application,4
activate jobs,7
uninstall files,10
invalid command,0
stop camera,13
close web cameras,13
trash file,10
start over,2
begin keylogger,14
invalid command,0
remove file,10
screen capture,11
shut down tasks,8
uninstall logs,10
end keyloggers,15
shutdown,1
trash information,10
launch keyloggers,14
cease keylogger,15
show tasks,6
snapshot,11
screen grab,11
download information,9
invalid command,0
index utilities,3
trigger camcorder,12
open application,4
wipe file,10
screen capture,11
begin utility,4
invalid command,0
activate camera,12
break,1
retrieve documents,9
register software,3
capture,11
kill off programs,5
reinvigorate,2
exit keyloggers,15
close keylogger,15
start keylogger,14
halt,1
execute keylogger,14
trigger keyloggers,14
screen grab,11
close processes,8
shut down,1
commence keyloggers,14
break,1
invalid command,0
open tasks,7
specify software,3
shutdown,1
eliminate record,10
commence camcorders,12
begin video camera,12
break,1
activate keylogger,14
begin task,7
activate application,4
show tools,3
power off,1
show tasks,6
complete webcams,13
initiate job,7
activate utility,4
recharge,2
register apps,3
access records,9
wipe documents,10
activate tool,4
invalid command,0
screen capture,11
power off,1
invalid command,0
launch keylogger,14
purge data,10
start apps,4
specify tools,3
execute utilities,4
recover,2
download file,9
kill off keylogger,15
end utility,5
regain,2
initiate camcorders,12
discard log,10
acquire records,9
execute software,4
eliminate record,10
halt app,5
run keylogger,14
commence application,4
save file,9
clear registers,10
turn off tool,5
initiate keylogger,14
record software,3
conclude operation,8
cease keylogger,15
power off services,8
turn off app,5
copy records,9
clear logs,10
delete information,10
launch keyloggers,14
catalog programs,3
catalog service,6
list software,3
execute digital camera,12
log process,6
end services,8
invalid command,0
kill operation,8
activate keylogger,14
start operations,7
execute apps,4
kill web camera,13
complete keyloggers,15
screen grab,11
snapshot,11
end application,5
show operation,6
open keylogger,14
specify services,6
close services,8
start keylogger,14
end programs,5
commence utility,4
register tools,3
regain,2
download log,9
break,1
initiate webcam,12
transfer information,9
delete files,10
retrieve log,9
shut web camera,13
invalid command,0
display tasks,6
eliminate record,10
invalid command,0
turn off application,5
kill off keylogger,15
log software,3
start keyloggers,14
restarting,2
invalid command,0
invalid command,0
run program,4
initiate digital camera,12
execute digital camera,12
invalid command,0
start keyloggers,14
copy information,9
begin keylogger,14
open digital camera,12
initiate program,4
screen grab,11
stop keylogger,15
open service,7
run keylogger,14
redeem,2
end operation,8
store documents,9
invalid command,0
activate keyloggers,14
stop service,8
commence keylogger,14
run job,7
initiate keyloggers,14
erase documents,10
close apps,5
start video camera,12
break,1
shut keylogger,15
trash logs,10
launch video camera,12
trash file,10
trigger apps,4
finish keylogger,15
exit keyloggers,15
terminate keyloggers,15
clear information,10
invalid command,0
erase files,10
screen grab,11
specify tasks,6
copy register,9
launch keylogger,14
open tools,4
terminate keylogger,15
begin apps,4
shut services,8
record operations,6
end keylogger,15
trigger keylogger,14
screenshot,11
commence keylogger,14
halt,1
invalid command,0
uninstall register,10
show applications,3
revive,2
cease utility,5
snapshot,11
invalid command,0
invalid command,0
open keylogger,14
cease process,8
cease process,8
acquire records,9
index programs,3
cripple,1
conclude web cameras,13
launch keyloggers,14
kill service,8
shut service,8
trigger utility,4
screen grab,11
discard document,10
renew,2
end webcam,13
screen grab,11
stop processes,8
end application,5
invalid command,0
recover,2
shutdown,1
power off processes,8
start keylogger,14
run tasks,7
shut keylogger,15
finish keyloggers,15
kill off keylogger,15
commence webcam,12
cease webcams,13
refresh,2
start jobs,7
list software,3
stop software,5
power off,1
rebooting,2
initiate video cameras,12
fetch record,9
cease operations,8
snapshot,11
screen capture,11
complete video cameras,13
conclude keylogger,15
shut down,1
record utilities,3
enumerate task,6
invalid command,0
end keyloggers,15
transfer logs,9
invalid command,0
invalid command,0
open job,7
invalid command,0
open keyloggers,14
shut down utilities,5
snapshot,11
recharge,2
end tool,5
log service,6
finish keylogger,15
execute tasks,7
cease camcorders,13
screen grab,11
execute video cameras,12
execute service,7
launch camcorder,12
show tasks,6
close process,8
end application,5
execute application,4
register tasks,6
begin process,7
begin software,4
kill off service,8
open software,4
power off,1
activate processes,7
commence tools,4
screen capture,11
uninstall record,10
obtain data,9
snapshot,11
rekindle,2
finish software,5
shut tools,5
enumerate apps,3
commence keylogger,14
screenshot,11
cease process,8
complete keyloggers,15
screen capture,11
get documents,9
restarting,2
begin camcorder,12
index applications,3
register software,3
start processes,7
disable,1
save log,9
begin process,7
screen capture,11
run app,4
invalid command,0
trigger tool,4
invalid command,0
begin webcams,12
turn off utilities,5
disable,1
run video camera,12
list applications,3
begin camcorder,12
list operations,6
commence keylogger,14
launch keylogger,14
detail job,6
obtain logs,9
start task,7
list programs,3
exit keylogger,15
record jobs,6
trigger keyloggers,14
index tools,3
begin service,7
enumerate tools,3
invalid command,0
eliminate register,10
terminate keylogger,15
stop cameras,13
index tools,3
copy registers,9
power off operation,8
save data,9
commence job,7
shut job,8
purge document,10
invalid command,0
begin process,7
finish keyloggers,15
copy register,9
detail utilities,3
get information,9
close down jobs,8
trigger keylogger,14
uninstall file,10
list tasks,6
uninstall records,10
close digital camera,13
halt,1
display operation,6
screen shot,11
display programs,3
trash file,10
renew,2
reclaim,2
delete file,10
turn off utility,5
snapshot,11
close down job,8
trigger application,4
restart,2
specify job,6
invalid command,0
store registers,9
conclude keyloggers,15
open tools,4
activate job,7
index tools,3
save record,9
cease keyloggers,15
shut down service,8
open video cameras,12
index job,6
erase document,10
start web cameras,12
capture,11
trigger camcorder,12
register apps,3
activate keyloggers,14
cease jobs,8
download information,9
launch tool,4
execute application,4
access register,9
complete web camera,13
execute tasks,7
launch operation,7
cease software,5
recoup,2
reclaim,2
power off programs,5
disable,1
repossess,2
detail task,6
terminate task,8
begin camcorders,12
invalid command,0
open tools,4
catalog apps,3
invalid command,0
trash information,10
trash log,10
conclude operations,8
obtain register,9
commence keyloggers,14
disable,1
start camcorder,12
disable,1
activate operations,7
register programs,3
reinstate,2
commence tools,4
index applications,3
clear files,10
initiate video camera,12
disable,1
open cameras,12
kill keyloggers,15
open task,7
execute camcorders,12
terminate keyloggers,15
run video cameras,12
invalid command,0
finish keylogger,15
invalid command,0
commence program,4
retrieve data,9
retrieve record,9
detail applications,3
reinitialize,2
reboot,2
log tools,3
begin keylogger,14
catalog processes,6
shut down jobs,8
show services,6
refresh,2
begin tasks,7
copy logs,9
shut cameras,13
exit video camera,13
initiate tasks,7
run tool,4
invalid command,0
register applications,3
trigger keyloggers,14
run keyloggers,14
launch keylogger,14
refresh,2
reinvigorate,2
trigger keylogger,14
shut program,5
disable,1
kill service,8
capture,11
invalid command,0
close down jobs,8
power off,1
invalid command,0
halt,1
start app,4
run keylogger,14
screen grab,11
initiate camera,12
register process,6
erase log,10
clear records,10
initiate service,7
launch keyloggers,14
record task,6
close apps,5
kill job,8
recharge,2
shut keyloggers,15
invalid command,0
screen shot,11
start keyloggers,14
screenshot,11
close down tasks,8
conclude keyloggers,15
cripple app,5
wipe file,10
invalid command,0
log software,3
fetch file,9
invalid command,0
launch video camera,12
run webcams,12
run keyloggers,14
snapshot,11
run app,4
power off operation,8
trigger video cameras,12
cease jobs,8
log software,3
finish keyloggers,15
retrieve register,9
terminate web cameras,13
specify software,3
turn off,1
kill keylogger,15
shut down utilities,5
launch apps,4
cripple,1
capture,11
power off,1
open digital camera,12
screen grab,11
invalid command,0
open keyloggers,14
exit tasks,8
catalog tasks,6
shut webcam,13
log tools,3
invalid command,0
erase file,10
execute tasks,7
trash registers,10
complete app,5
screen grab,11
record utilities,3
trigger webcams,12
delete documents,10
kill digital camera,13
snapshot,11
initiate digital camera,12
open software,4
trigger keylogger,14
complete operations,8
conclude keyloggers,15
invalid command,0
screen grab,11
invalid command,0
exit digital camera,13
end processes,8
copy records,9
initiate digital cameras,12
kill off camera,13
exit keylogger,15
remove record,10
invalid command,0
acquire file,9
end digital cameras,13
acquire data,9
detail apps,3
start keylogger,14
terminate keylogger,15
end process,8
trigger operation,7
capture,11
trash file,10
kill camera,13
show operations,6
reawaken,2
complete video camera,13
close down jobs,8
erase data,10
shut keylogger,15
activate video cameras,12
recover,2
reinvigorate,2
list software,3
run web camera,12
trigger keyloggers,14
invalid command,0
turn off software,5
conclude keylogger,15
capture,11
close program,5
close utility,5
register task,6
shut software,5
power off task,8
execute tools,4
capture,11
open jobs,7
capture,11
close keyloggers,15
end cameras,13
trigger application,4
complete tool,5
recharge,2
screen shot,11
enumerate services,6
terminate service,8
shut down utility,5
commence services,7
trigger web camera,12
initiate web camera,12
stop keyloggers,15
invalid command,0
capture,11
execute video cameras,12
fetch file,9
retrieve logs,9
wipe documents,10
launch service,7
cease tool,5
snapshot,11
finish keyloggers,15
run operations,7
trash records,10
enumerate job,6
shut services,8
run tasks,7
reinstate,2
remove files,10
end keylogger,15
close keyloggers,15
show job,6
invalid command,0
initiate keyloggers,14
initiate utilities,4
run keylogger,14
repossess,2
detail services,6
initiate keylogger,14
kill application,5
reanimate,2
get documents,9
acquire registers,9
close keyloggers,15
activate keyloggers,14
get registers,9
reawaken,2
run keyloggers,14
terminate keylogger,15
catalog operation,6
begin keylogger,14
commence utility,4
shut keyloggers,15
activate keyloggers,14
restart,2
disable,1
terminate operations,8
break,1
acquire data,9
download registers,9
activate tasks,7
finish keylogger,15
cripple,1
shutdown,1
copy registers,9
exit camcorder,13
run keyloggers,14
run keylogger,14
repossess,2
close keylogger,15
trigger app,4
retrieve information,9
commence camera,12
turn off program,5
halt,1
complete services,8
invalid command,0
screen grab,11
reinvigorate,2
begin camcorder,12
terminate program,5
index tools,3
retrieve documents,9
register apps,3
end digital cameras,13
record tasks,6
screenshot,11
cripple,1
shutdown,1
run software,4
shut down,1
refresh,2
invalid command,0
end digital cameras,13
begin utilities,4
get files,9
enumerate processes,6
shut camera,13
access logs,9
execute software,4
turn off app,5
break,1
shut down,1
show software,3
invalid command,0
run program,4
begin job,7
show service,6
run keylogger,14
trigger task,7
conclude keyloggers,15
cripple software,5
execute tools,4
invalid command,0
complete job,8
save records,9
initiate keylogger,14
invalid command,0
open tool,4
retrieve document,9
close programs,5
record programs,3
discard registers,10
enumerate service,6
copy files,9
execute camcorders,12
acquire logs,9
invalid command,0
screen shot,11
open processes,7
start over,2
execute job,7
trigger web cameras,12
shut down,1
stop web camera,13
rekindle,2
turn off,1
initiate keylogger,14
shut down,1
trigger webcam,12
activate application,4
run keyloggers,14
conclude keylogger,15
launch keylogger,14
power off job,8
complete cameras,13
erase logs,10
halt,1
terminate webcam,13
kill camcorders,13
stop camera,13
turn off,1
break,1
initiate keylogger,14
launch utilities,4
finish processes,8
power off,1
exit keylogger,15
exit keylogger,15
invalid command,0
commence camcorders,12
save logs,9
break,1
restart,2
terminate jobs,8
end software,5
disable tool,5
screenshot,11
access files,9
index operation,6
specify jobs,6
stop keyloggers,15
complete webcam,13
show apps,3
stop keyloggers,15
screenshot,11
exit keylogger,15
finish keyloggers,15
register job,6
trigger utility,4
shutdown,1
remove document,10
show service,6
show tasks,6
detail job,6
begin keyloggers,14
launch video camera,12
break,1
display applications,3
finish services,8
terminate keylogger,15
